,receptor,TF
3920,BMPR1A,TSC22D4
3921,BMPR1A,ARID3A
3922,BMPR1A,GLI2
3923,BMPR1A,TWIST1
3924,BMPR1A,RELA
3925,BMPR1A,ERF
3926,BMPR1B,SMAD5
3927,BMPR1B,SMAD1
3928,BMPR1B,SMAD9
3929,BMPR1B,NFATC4
3930,BMPR1B,NEUROD1
3931,BMPR1B,SMAD3
3932,BMPR1B,MLX
3933,BMPR1B,MTA1
3934,BMPR1B,SMAD4
3935,BMPR1B,ATF2
3936,BMPR1B,CTCF
3937,BMPR1B,GATA4
3938,BMPR1B,ID1
3939,BMPR1B,ID4
3940,BMPR1B,ID3
3941,BMPR1B,ID2
3942,BMPR1B,NKX2-5
3943,BMPR1B,TLX2
3944,BMPR1B,RUNX2
3945,BMPR1B,NFATC3
3946,BMPR1B,PAXBP1
3947,BMPR1B,FOXO1
3948,BMPR1B,TCF7L2
3949,BMPR1B,NANOG
3950,BMPR1B,JUN
3951,BMPR1B,SOX9
3952,BMPR1B,AR
3953,BMPR1B,E2F4
3954,BMPR1B,ESR1
3955,BMPR1B,SMAD2
3956,BMPR1B,LEF1
3957,BMPR1B,E2F5
3958,BMPR1B,SMAD7
3959,BMPR1B,MEF2C
3960,BMPR1B,GATA3
3961,BMPR1B,MAX
3962,BMPR1B,PIAS4
3963,BMPR1B,FOXP3
3964,BMPR1B,TFDP1
3965,BMPR1B,PITX2
3966,BMPR1B,SNAI1
3967,BMPR1B,IRF3
3968,BMPR1B,CSDC2
3969,BMPR1B,CARHSP1
3970,BMPR1B,TP53
3971,BMPR1B,CC2D1A
3972,BMPR1B,PINX1
3973,BMPR1B,NR2C2
3974,BMPR1B,MYOG
3975,BMPR1B,MYOD1
3976,BMPR1B,MYF6
3977,BMPR1B,NFKB1
3978,BMPR1B,CSDE1
3979,BMPR1B,RXRA
3980,BMPR2,SMAD5
3981,BMPR2,NKX2-5
3982,BMPR2,ATF2
3983,BMPR2,SMAD1
3984,BMPR2,MTA1
3985,BMPR2,GATA4
3986,BMPR2,SMAD9
3987,BMPR2,SMAD2
3988,BMPR2,SMAD3
3989,BMPR2,ETS1
3990,BMPR2,ZBTB44
3991,BMPR2,RXRG
3992,BMPR2,NFATC4
3993,BMPR2,E2F3
3994,BMPR2,NEUROD1
3995,BMPR2,MLX
3996,BMPR2,AIRE
3997,BMPR2,MYB
3998,BMPR2,LEF1
3999,BMPR2,STAT3
4000,BMPR2,SMAD4
4001,BMPR2,CTCF
4002,BMPR2,ID1
4003,BMPR2,ID4
4004,BMPR2,ID3
4005,BMPR2,ID2
4006,BMPR2,TLX2
4007,BMPR2,NFKB1
4008,BMPR2,SOX10
4009,BMPR2,MEF2C
4010,BMPR2,ATF3
4011,BMPR2,JUN
4012,BMPR2,DDIT3
4013,BMPR2,HES1
4014,BMPR2,ESR1
4015,BMPR2,CBFB
4016,BMPR2,NR2C2
4017,BMPR2,CSDE1
4018,BMPR2,PINX1
4019,BMPR2,RXRA
4020,BMPR2,RUNX2
4021,BMPR2,MYOG
4022,BMPR2,MYOD1
4023,BMPR2,MYF6
4024,BMPR2,SRF
4025,ENG,SMAD5
4026,ENG,SMAD1
4027,ENG,SMAD9
4028,ENG,NKX2-5
4029,ENG,ATF2
4030,ENG,GATA4
4031,ENG,SMAD4
4032,ENG,CTCF
4033,ENG,ID1
4034,ENG,ID4
4035,ENG,ID3
4036,ENG,ID2
4037,ENG,TLX2
4038,ENG,RUNX2
4039,ACVR2B,SMAD3
4040,ACVR2B,SMAD2
4041,ACVR2B,SMAD9
4042,ACVR2B,SMAD5
4043,ACVR2B,SMAD1
4044,ACVR2B,SMAD4
4045,ACVR2B,NEUROD1
4046,ACVR2B,NKX2-5
4047,ACVR2B,ATF2
4048,ACVR2B,AIRE
4049,ACVR2B,GATA4
4050,ACVR2B,ETS1
4051,ACVR2B,ZBTB44
4052,ACVR2B,RXRG
4053,ACVR2B,NFATC4
4054,ACVR2B,E2F3
4055,ACVR2B,MLX
4056,ACVR2B,MTA1
4057,ACVR2B,FOXO1
4058,ACVR2B,TCF7L2
4059,ACVR2B,NANOG
4060,ACVR2B,JUN
4061,ACVR2B,SOX9
4062,ACVR2B,AR
4063,ACVR2B,E2F4
4064,ACVR2B,ESR1
4065,ACVR2B,LEF1
4066,ACVR2B,E2F5
4067,ACVR2B,SMAD7
4068,ACVR2B,MEF2C
4069,ACVR2B,GATA3
4070,ACVR2B,MAX
4071,ACVR2B,PIAS4
4072,ACVR2B,FOXP3
4073,ACVR2B,TFDP1
4074,ACVR2B,PITX2
4075,ACVR2B,SNAI1
4076,ACVR2B,SP1
4077,ACVR2B,MEF2A
4078,ACVR2B,CREB1
4079,ACVR2B,GSC
4080,ACVR2B,STAT3
4081,ACVR2B,STAT5A
4082,ACVR2B,E2F1
4083,ACVR2B,STAT5B
4084,ACVR2B,STAT1
4085,ACVR2B,SOX2
4086,ACVR2B,NFKB1
4087,ACVR2B,IRF1
4088,ACVR2B,NFATC1
4089,ACVR2B,ID1
4090,ACVR2B,ID2
4091,ACVR2B,ID3
4092,ACVR2B,TLX2
4093,ACVR2B,ID4
4094,ACVR2B,CTCF
4095,ACVR2B,MSX2
4096,ACVR2B,TFEB
4097,ACVR2B,TP73
4098,ACVR2B,NFE2L2
4099,ACVR2B,PPARA
4100,ACVR2B,ELK1
4101,ACVR2B,RUNX2
4102,ERBB2,ESR1
4103,ERBB2,MBD4
4104,ERBB2,FOS
4105,ERBB2,MTA1
4106,ERBB2,NFKB1
4107,ERBB2,ELK1
4108,ERBB2,CREB1
4109,ERBB2,MYOD1
4110,ERBB2,STAT3
4111,ERBB2,ELF3
4112,ERBB2,SNAI1
4113,ERBB2,ZHX1
4114,ERBB2,FOXN3
4115,ERBB2,PRDM1
4116,ERBB2,MAX
4117,ERBB2,ZBTB44
4118,ERBB2,SMAD3
4119,ERBB2,SOX10
4120,ERBB2,ZNF396
4121,ERBB2,NFATC4
4122,ERBB2,IRF3
4123,ERBB2,SP1
4124,ERBB2,MYC
4125,ERBB2,RELA
4126,ERBB2,STAT5A
4127,ERBB2,E2F1
4128,ERBB2,STAT5B
4129,ERBB2,STAT1
4130,ERBB2,SOX2
4131,ERBB2,IRF1
4132,ERBB2,NFATC1
4133,ERBB2,EGR1
4134,ERBB2,PGR
4135,ERBB2,XBP1
4136,ERBB2,GATA3
4137,ERBB2,RARA
4138,ERBB2,NR0B2
4139,ERBB2,AR
4140,ERBB2,PPARG
4141,ERBB2,RXRA
4142,ERBB2,ESR2
4143,ERBB2,NCOA1
4144,ERBB2,JUN
4145,ERBB2,NR3C1
4146,ERBB2,MTA3
4147,ERBB2,PRDM15
4148,ERBB2,FOXA1
4149,ERBB2,ZBTB7A
4150,ERBB2,HOXA10
4151,ERBB2,GLI1
4152,ERBB2,GLI3
4153,ERBB2,GLIS2
4154,ERBB2,ETV1
4155,ERBB2,TFAP2A
4156,ERBB2,TAL1
4157,ERBB2,TFAM
4158,ERBB2,ETV5
4159,ERBB2,SRF
4160,ERBB2,SOX9
4161,ERBB2,ATF1
4162,ERBB2,HSF1
4163,ERBB2,ATF2
4164,ERBB2,CREB3
4165,ERBB2,ATF4
4166,ERBB2,ID2
4167,ERBB2,NEUROD1
4168,ERBB2,ZEB2
4169,ERBB2,CSDE1
4170,ERBB2,RARG
4171,ERBB2,CSDC2
4172,ERBB2,CREB3L3
4173,ERBB2,CREB3L2
4174,ERBB2,PAXBP1
4175,ERBB2,LRRFIP1
4176,ERBB2,SMARCC2
4177,ERBB2,CREB3L4
4178,ERBB2,CREB3L1
4179,ERBB2,NFATC3
4180,ERBB2,ARID3A
4181,ERBB2,FOXO1
4182,ERBB2,FOXO4
4183,ERBB2,FOXO3B
4184,ERBB2,FOXO3
4185,ERBB2,TCF7L2
4186,ERBB2,LEF1
4187,ERBB2,TCF7
4188,ERBB2,PITX2
4189,ERBB2,SMAD7
4190,ERBB2,TCF4
4191,ERBB2,TCF3
4192,ERBB2,HNF1A
4193,ERBB2,NR4A1
4194,ERBB2,NR4A2
4195,ERBB2,NR4A3
4196,ERBB2,KLF4
4197,ERBB2,POU5F1
4198,ERBB2,TCF7L1
4199,ERBB2,MITF
4200,ERBB2,HIF1A
4201,ERBB2,NEUROG1
4202,ERBB2,TBXT
4203,ERBB2,SNAI2
4204,ERBB2,CDX4
4205,ERBB2,HMGA1
4206,ERBB2,SP5
4207,ERBB2,SALL4
4208,ERBB2,PPARD
4209,ERBB2,CDX1
4210,ERBB2,STAT6
4211,ERBB2,DBP
4212,ERBB2,STAT4
4213,ERBB2,ATOH1
4214,ERBB2,TET2
4215,ERBB2,GTF2I
4216,ERBB2,STAT2
4217,ERBB2,TBX21
4218,ERBB2,TP73
4219,ERBB2,PLSCR1
4220,ERBB2,TUB
4221,ERBB2,PAX7
4222,ERBB2,CEBPB
4223,ERBB2,TP63
4224,ERBB2,ZNF746
4225,ERBB2,IKZF1
4226,ERBB2,RUNX1
4227,ERBB2,FOXM1
4228,ERBB2,IRF4
4229,ERBB2,KLF16
4230,ERBB2,NANOG
4231,ERBB2,SMAD4
4232,ERBB2,TERF1
4233,ERBB2,ETS1
4234,ERBB2,PIAS3
4235,ERBB2,TP53
4236,ERBB2,GLI2
4237,ERBB2,NCOR2
4238,ERBB2,HAND2
4239,ERBB2,FOSB
4240,ERBB2,NFAT5
4241,ERBB2,FOSL2
4242,ERBB2,DMTF1
4243,ERBB2,FOSL1
4244,ERBB2,CBFB
4245,ERBB2,NFATC2
4246,ERBB2,ETS2
4247,ERBB2,LIN28A
4248,ERBB2,POU2F2
4249,ERBB2,ELK4
4250,ERBB2,PAX2
4251,ERBB2,JUND
4252,ERBB2,ELK3
4253,ERBB2,TWIST1
4254,ERBB2,JUNB
4255,ERBB2,ATF7
4256,ERBB2,JDP2
4257,ERBB2,PPARA
4258,ERBB2,HNF4A
4259,ERBB2,XPA
4260,ERBB2,ZNF385A
4261,ERBB2,ERF
4262,ERBB2,ZBTB16
4263,CD79A,STAT5A
4264,CD79A,EGR1
4265,CD79A,CREB1
4266,CD79A,E2F1
4267,CD79A,IRF3
4268,CD79A,NKX3-1
4269,CD79A,ELK1
4270,CD79A,ETS1
4271,CD79A,UBTF
4272,CD79A,CREM
4273,CD79A,GLI1
4274,CD79A,ESR1
4275,CD79A,SMARCE1
4276,CD79A,NFATC3
4277,CD79A,CTCF
4278,CD79A,ARID3A
4279,CD79A,HSF1
4280,CD79A,HMGA1
4281,CD79A,NFATC4
4282,CD79A,MYC
4283,CD79A,MTA1
4284,CD79A,STAT3
4285,CD79A,HIF1A
4286,CD79A,HES5
4287,CD79A,PAX6
4288,TNFRSF14,NR2C2
4289,TNFRSF14,RELA
4290,TNFRSF14,NFKB1
4291,TNFRSF14,TP53
4292,CD19,STAT3
4293,CD19,STAT5A
4294,CD19,STAT1
4295,CD19,NEUROD1
4296,CD19,NFKB1
4297,CD19,STAT5B
4298,CD19,MTA1
4299,CD19,CREB1
4300,CD19,SP1
4301,CD19,MYC
4302,CD19,RELA
4303,CD19,GABPA
4304,CD19,CEBPB
4305,CD19,MITF
4306,CD19,HIF1A
4307,CD19,ELK1
4308,CD19,BCL6
4309,CD19,GATA2
4310,CD19,GATA1
4311,CD19,SMAD3
4312,CD19,SMAD2
4313,CD19,FOS
4314,CD19,MEF2B
4315,CD19,ESR1
4316,CD19,IRX2
4317,CD19,ERF
4318,CD19,GLI1
4319,CD19,JUND
4320,CD19,RUNX1
4321,CD19,TP53
4322,CD19,THRB
4323,CD19,YBX1
4324,CD19,NR4A1
4325,CD19,NCOA1
4326,CD19,NR4A2
4327,CD19,ATF2
4328,CD19,PPARA
4329,CD19,TWIST1
4330,CD19,TCF3
4331,CD19,RXRA
4332,CD19,AR
4333,CD19,MAFA
4334,CD19,JUN
4335,CD19,SREBF2
4336,CD19,EPAS1
4337,CD19,SMAD4
4338,CD19,SP3
4339,CD19,GTF2I
4340,CD19,SREBF1
4341,CD19,NR5A1
4342,CD19,NFATC4
4343,CD19,ELK4
4344,CD19,E2F1
4345,CD19,GATA4
4346,CD19,RARA
4347,CD19,ETS1
4348,CD19,EGR1
4349,CD19,ESR2
4350,CD19,CREB3
4351,CD19,MEF2C
4352,CD19,RUNX2
4353,CD19,ZBED1
4354,CD19,HNF4A
4355,CD19,RXRB
4356,CD19,RARG
4357,CD19,RARB
4358,CD19,TSC22D3
4359,CD19,FOSB
4360,CD19,SOX10
4361,CD19,RXRG
4362,CD19,HNF1A
4363,CD19,NR1H4
4364,CD19,IKZF3
4365,CD19,STAT2
4366,CD19,CREB3L4
4367,CD19,CREB3L1
4368,CD19,ATF4
4369,CD19,ATF6B
4370,CD19,CREB3L3
4371,CD19,CREB3L2
4372,CD19,CREB5
4373,CD19,NFATC1
4374,CD19,ZBTB7A
4375,CD19,FOXO1
4376,CD19,FOXO3
4377,CD19,FOXO4
4378,CD19,SMARCC1
4379,CD19,NRF1
4380,CD19,HSF1
4381,CD19,SOX2
4382,CD19,DLX5
4383,CD19,POU5F1
4384,CD19,SP7
4385,CD19,NR3C1
4386,CD19,FOXA2
4387,CD19,THRA
4388,CD19,ARNT
4389,CD19,NFATC3
4390,CD19,MLX
4391,CD19,PINX1
4392,CD19,SOX9
4393,CD19,MYOD1
4394,CD19,STAT6
4395,CD19,MEF2D
4396,CD19,GLI2
4397,CD19,FOXN3
4398,CD19,ID2
4399,CD19,XPA
4400,CD19,MEF2A
4401,CD19,BCL11A
4402,CD19,ZHX1
4403,CD19,TEAD1
4404,CD46,STAT1
4405,CD46,STAT3
4406,CD81,NFKB1
4407,ITGAX,ETS1
4408,ITGAX,MTA1
4409,ITGAX,STAT1
4410,ITGAX,STAT5A
4411,ITGAX,NANOG
4412,ITGAX,NCOA1
4413,ITGAX,SMAD4
4414,ITGAX,TERF1
4415,ITGAX,MITF
4416,CD40,TP53
4417,CD40,SETDB2
4418,CD40,STAT5A
4419,CD40,IRF1
4420,CD40,NFKB1
4421,CD40,NR2C2
4422,CD40,RELA
4423,CD40,STAT1
4424,CD40,RFX5
4425,CD40,SMAD7
4426,CD40,KLF4
4427,CD40,YBX1
4428,CD40,STAT3
4429,CD40,AIRE
4430,CD40,IRF2
4431,CD40,MYB
4432,CD40,SMAD2
4433,CD40,HIF1A
4434,CD40,ARNT
4435,CD40,SMAD3
4436,CD40,STAT6
4437,CD40,ZBTB16
4438,CD40,TP63
4439,CD40,MITF
4440,CD40,SMAD4
4441,CD40,IRF9
4442,CD40,FLI1
4443,CD40,MEF2C
4444,CD40,RUNX2
4445,CD40,SMAD1
4446,CD40,PLAG1
4447,CD40,MEF2A
4448,CD40,PLAGL2
4449,CD40,XBP1
4450,CD40,MYOD1
4451,CD40,MEF2D
4452,CD40,AR
4453,CD40,NR4A1
4454,CD40,YY1
4455,CD40,TP73
4456,CD40,VDR
4457,CD40,E2F1
4458,CD40,GATA4
4459,CD40,GATA3
4460,CD40,NR1H3
4461,CD40,HES1
4462,CD40,CDX1
4463,CD40,RBPJL
4464,CD40,SRY
4465,CD40,GATA1
4466,CD40,RBPJ
4467,CD40,ATF2
4468,CD40,HBP1
4469,CD40,PIAS2
4470,CD40,TCF3
4471,CD40,TWIST1
4472,CD40,ELK1
4473,CD40,ELK4
4474,CD40,JUN
4475,CD40,NR3C1
4476,CD40,SP1
4477,CD40,CEBPA
4478,CD40,USF1
4479,CD40,CREB1
4480,CD40,SRF
4481,CD40,PDX1
4482,CD40,MAX
4483,CD40,TFAP2A
4484,CD40,MEF2B
4485,CD40,FOS
4486,CD40,DDIT3
4487,CD40,ATF6
4488,CD40,ESR1
4489,CD40,MYC
4490,CD40,CEBPB
4491,CD40,CREB3L4
4492,CD40,CREB3L1
4493,CD40,ATF6B
4494,CD40,CREB3L3
4495,CD40,CREB5
4496,CD40,CREB3L2
4497,CD40,CREB3
4498,CD40,ATF4
4499,CD40,PAX2
4500,CD40,JUND
4501,CD40,ELK3
4502,CD40,FOXO4
4503,CD40,JUNB
4504,CD40,HSF1
4505,CD40,IRF3
4506,CD40,RXRA
4507,CD40,RARA
4508,CD40,ATF7
4509,CD40,JDP2
4510,CD40,NFATC1
4511,CD40,PPARA
4512,CD40,FOSL1
4513,CD40,HNF1A
4514,CD40,ZHX1
4515,CD40,HNF4A
4516,CD40,XPA
4517,CD40,ETV1
4518,CD40,ZNF385A
4519,CD40,ERF
4520,CD40,GABPA
4521,CD40,BCL6
4522,CD40,GATA2
4523,CD40,IRX2
4524,CD40,GLI1
4525,CD40,RUNX1
4526,CD40,THRB
4527,CD40,NCOA1
4528,CD40,NR4A2
4529,CD40,MAFA
4530,CD40,SREBF2
4531,CD40,EPAS1
4532,CD40,SP3
4533,CD40,GTF2I
4534,CD40,SREBF1
4535,CD40,NR5A1
4536,CD40,NFATC4
4537,CD40,ETS1
4538,CD40,EGR1
4539,CD40,ESR2
4540,CD40,ZBED1
4541,CD40,RXRB
4542,CD40,RARG
4543,CD40,RARB
4544,CD40,TSC22D3
4545,CD40,FOSB
4546,CD40,SOX10
4547,CD40,RXRG
4548,CD40,MTA1
4549,CD40,NR1H4
4550,CD40,IKZF3
4551,CD40,STAT2
4552,CD40,PIAS3
4553,CD40,POU2F1
4554,CD40,NCOR2
4555,CD40,TAL1
4556,CD40,UBTF
4557,CD40,MAZ
4558,CD40,TFCP2
4559,CD40,MXD1
4560,CD40,SPDEF
4561,CD40,NKX2-1
4562,CD40,PINX1
4563,CD40,PURA
4564,CD40,STAT4
4565,CD40,SP7
4566,CD40,FOXC1
4567,CD40,FOXO3
4568,CD40,DLX5
4569,CD40,ETS2
4570,CD40,ATF1
4571,CD40,MLX
4572,CD40,FOXO1
4573,CD40,SMARCC1
4574,CD40,NRF1
4575,CD40,SOX2
4576,CD40,POU5F1
4577,CD40,FOXA2
4578,CD40,THRA
4579,CD40,NFATC3
4580,CD40,SOX9
4581,CD40,GLI2
4582,CD40,FOXN3
4583,CD40,ID2
4584,CD40,NEUROD1
4585,CD40,BCL11A
4586,CD40,TEAD1
4587,CD40,ATF3
4588,CD40,ARID3A
4589,CD40,PLAGL1
4590,CD40,PRDM1
4591,CD40,HIC1
4592,CD40,IRF5
4593,CD40,NFKB2
4594,CD40,HMGB1
4595,CD40,BHLHE40
4596,CD40,SNAI2
4597,CD40,TFEB
4598,CD40,TFE3
4599,CD40,PKNOX1
4600,CD40,SMARCC2
4601,CD40,ZNF410
4602,CD40,FOXP3
4603,CD40,ID1
4604,CD40,IRF8
4605,CD40,LIN28A
4606,CD40,POU2F2
4607,ABCA1,STAT3
4608,ABCA1,STAT5B
4609,ABCA1,STAT1
4610,ABCA1,STAT5A
4611,ABCA1,STAT6
4612,ABCA1,DBP
4613,ABCA1,STAT4
4614,ABCA1,ATOH1
4615,ABCA1,TET2
4616,ABCA1,GTF2I
4617,ABCA1,MYC
4618,ABCA1,STAT2
4619,ABCA1,FOS
4620,ABCA1,RELA
4621,ABCA1,TBX21
4622,ABCA1,MTA1
4623,ABCA1,NFKB1
4624,ABCA1,SMAD3
4625,ADCY8,CREB3L1
4626,ADCY8,ATF4
4627,ADCY8,MLXIPL
4628,ADCY8,CREB3
4629,ADCY8,CREB1
4630,ADCY8,PPARA
4631,ADCY8,CREB3L3
4632,ADCY8,CREB3L2
4633,ADCY8,CREB3L4
4634,ADCY8,MTA1
4635,ADCY8,CREM
4636,ADCY8,SMAD6
4637,ADCY8,RELA
4638,ADCY8,GLI1
4639,ADCY8,GLI3
4640,ADCY8,GLIS2
4641,ADCY8,NFKB1
4642,ADCY8,ETV1
4643,ADCY8,TFAP2A
4644,ADCY8,ESR1
4645,ADCY8,TAL1
4646,ADCY8,TFAM
4647,ADCY8,E2F1
4648,ADCY8,RARA
4649,ADCY8,RXRA
4650,ADCY8,ETV5
4651,ADCY8,SRF
4652,ADCY8,SOX9
4653,ADCY8,ATF1
4654,ADCY8,HSF1
4655,ADCY8,FOS
4656,ADCY8,ATF2
4657,ADCY8,NFATC4
4658,ADCY8,ID2
4659,ADCY8,NEUROD1
4660,ADCY8,ZEB2
4661,ADCY8,CSDE1
4662,ADCY8,RARG
4663,ADCY8,CSDC2
4664,ADCY8,PAXBP1
4665,ADCY8,LRRFIP1
4666,ADCY8,SMARCC2
4667,ADCY8,IRF3
4668,ADCY8,ZHX1
4669,ADCY8,NFATC3
4670,ADCY8,ARID3A
4671,CRHR1,GLI1
4672,CRHR1,GABPA
4673,CRHR1,CEBPB
4674,CRHR1,TCF3
4675,CRHR1,HIF1A
4676,CRHR1,STAT3
4677,CRHR1,JUND
4678,CRHR1,ELK1
4679,CRHR1,GATA1
4680,CRHR1,ELK4
4681,CRHR1,SMAD1
4682,CRHR1,SMAD3
4683,CRHR1,SMAD2
4684,CRHR1,STAT5A
4685,CRHR1,MYC
4686,CRHR1,TAL1
4687,CRHR1,ELK3
4688,CRHR1,ETS1
4689,CRHR1,FOS
4690,CRHR1,TWIST1
4691,CRHR1,ESR1
4692,CRHR1,SP1
4693,CRHR1,IRX2
4694,CRHR1,SREBF2
4695,CRHR1,SREBF1
4696,CRHR1,SMAD4
4697,CRHR1,ATF2
4698,CRHR1,E2F1
4699,CRHR1,RXRA
4700,CRHR1,NCOA1
4701,CRHR1,RUNX2
4702,CRHR1,EPAS1
4703,CRHR1,UBTF
4704,CRHR1,JUN
4705,CRHR1,GTF2I
4706,CRHR1,PPARA
4707,CRHR1,HSF1
4708,CRHR1,MAZ
4709,CRHR1,TFCP2
4710,CRHR1,NFATC4
4711,CRHR1,MITF
4712,CRHR1,SP3
4713,CRHR1,TP53
4714,CRHR1,GATA4
4715,CRHR1,RARG
4716,CRHR1,MXD1
4717,CRHR1,RXRG
4718,CRHR1,SPDEF
4719,CRHR1,RARA
4720,CRHR1,NKX2-1
4721,CRHR1,CREB1
4722,CRHR1,NFKB1
4723,CRHR1,ZHX1
4724,CRHR1,PINX1
4725,CRHR1,IKZF3
4726,CRHR1,EGR1
4727,CRHR1,RARB
4728,CRHR1,PURA
4729,CRHR1,HNF1A
4730,CRHR1,RXRB
4731,CRHR1,RELA
4732,CRHR1,CREB3L4
4733,CRHR1,ATF4
4734,CRHR1,CREB3L1
4735,CRHR1,ATF6B
4736,CRHR1,CREB3L3
4737,CRHR1,CREB5
4738,CRHR1,CREB3L2
4739,CRHR1,CREB3
4740,CRHR1,ESR2
4741,FAS,TP53
4742,FAS,NFKB1
4743,FAS,ATF3
4744,FAS,ARID3A
4745,FAS,VDR
4746,FAS,PLAGL1
4747,FAS,PRDM1
4748,FAS,TP73
4749,FAS,TP63
4750,FAS,HIF1A
4751,FAS,BCL6
4752,FAS,HIC1
4753,FAS,IRF5
4754,FAS,ID2
4755,FAS,NFKB2
4756,FAS,HMGB1
4757,FAS,BHLHE40
4758,FAS,KLF4
4759,FAS,ESR1
4760,FAS,SNAI2
4761,FAS,RELA
4762,FAS,ZNF622
4763,FAS,MYC
4764,FAS,STAT3
4765,FAS,STAT5A
4766,FAS,E2F1
4767,FAS,STAT5B
4768,FAS,STAT1
4769,FAS,SOX2
4770,FAS,IRF1
4771,FAS,NFATC1
4772,FAS,STAT6
4773,FAS,AR
4774,FAS,NCOR2
4775,FAS,JUN
4776,FAS,FOS
4777,FAS,LIN28A
4778,FAS,POU2F2
4779,FAS,SRF
4780,FAS,MTA1
4781,FAS,STAT4
4782,FAS,HSF4
4783,FAS,TSC22D3
4784,FAS,NEUROD1
4785,FAS,MECP2
4786,FAS,PIAS1
4787,FAS,TAX1BP1
4788,FAS,IRF7
4789,FAS,IRF3
4790,FAS,GLI1
4791,FAS,REL
4792,GLP1R,FOSB
4793,HTR2C,GLI1
4794,MYLK,NEUROD1
4795,MYLK2,MEF2C
4796,MYLK2,ZNF396
4797,MYLK2,JUN
4798,MYLK2,MYOD1
4799,MYLK2,ESRRA
4800,MYLK2,MYEF2
4801,MYLK2,ELK4
4802,MYLK2,ATF2
4803,MYLK2,PAX2
4804,MYLK2,SMAD3
4805,MYLK2,JUND
4806,MYLK2,STAT5A
4807,MYLK2,SP1
4808,MYLK2,STAT1
4809,MYLK2,ELK1
4810,MYLK2,ELK3
4811,MYLK2,STAT3
4812,MYLK2,TWIST1
4813,MYLK2,FOXO4
4814,MYLK2,TP73
4815,MYLK2,JUNB
4816,MYLK2,TP53
4817,MYLK2,HSF1
4818,MYLK2,IRF3
4819,MYLK2,NR3C1
4820,MYLK2,MYC
4821,MYLK2,RXRA
4822,MYLK2,RARA
4823,MYLK2,ATF7
4824,MYLK2,JDP2
4825,MYLK2,ESR1
4826,MYLK2,SMAD4
4827,MYLK2,NFATC1
4828,MYLK2,AR
4829,MYLK2,FOS
4830,MYLK2,PPARA
4831,MYLK2,IRF1
4832,MYLK2,FOSL1
4833,MYLK2,HNF1A
4834,MYLK2,ZHX1
4835,MYLK2,HNF4A
4836,MYLK2,XPA
4837,MYLK2,ETV1
4838,MYLK2,MITF
4839,MYLK2,CREB1
4840,MYLK2,ZNF385A
4841,MYLK2,SRF
4842,MYLK2,ERF
4843,MYLK2,ZBTB16
4844,MYLK2,NEUROD1
4845,MYLK2,NFATC3
4846,MYLK2,PAXBP1
4847,OPRM1,GLI1
4848,OPRM1,STAT3
4849,OPRM1,STAT5A
4850,OPRM1,E2F1
4851,OPRM1,STAT5B
4852,OPRM1,STAT1
4853,OPRM1,ESR1
4854,OPRM1,SOX2
4855,OPRM1,NFKB1
4856,OPRM1,IRF1
4857,OPRM1,NFATC1
4858,PTPRA,TSC22D3
4859,PTPRA,STAT2
4860,PTPRA,NFATC4
4861,PTPRA,SOX10
4862,PTPRA,MTA1
4863,PTPRA,PLSCR1
4864,PTPRA,STAT3
4865,PTPRA,AR
4866,PTPRA,STAT1
4867,PTPRA,RXRA
4868,PTPRA,PPARG
4869,PTPRA,RUNX1
4870,PTPRA,STAT5A
4871,PTPRA,FOXM1
4872,PTPRA,IRF3
4873,PTPRA,IRF4
4874,PTPRA,SMAD3
4875,PTPRA,STAT5B
4876,PTPRA,ESR1
4877,PTPRA,GTF2I
4878,PTPRA,KLF16
4879,PTPRA,FOS
4880,PTPRA,NFKB1
4881,PTPRA,RELA
4882,PTPRA,TCF7L2
4883,PTPRA,VDR
4884,PTPRA,ERF
4885,PTPRA,SMARCC2
4886,PTPRA,PINX1
4887,PTPRA,SMAD4
4888,PTPRA,ETS1
4889,PTPRA,MXD1
4890,PTPRA,MYC
4891,PTPRA,NFE2L2
4892,PTPRA,SRF
4893,PTPRA,ARX
4894,PTPRA,NKX3-1
4895,PTPRA,PLEK
4896,PTPRA,DLX3
4897,PTPRA,TP53
4898,PTPRA,TWIST1
4899,PTPRA,MBD4
4900,PTPRA,TP73
4901,PTPRA,NR1H4
4902,PTPRA,ATF2
4903,PTPRA,RARA
4904,PTPRA,PPARA
4905,PTPRA,ELK1
4906,PTPRA,CSDE1
4907,PTPRA,RXRG
4908,PTPRA,ZHX1
4909,PTPRA,GPBP1L1
4910,PTPRA,RXRB
4911,PTPRA,SREBF1
4912,SELL,JUN
4913,SELL,NFAT5
4914,SELL,SMAD4
4915,SELL,FOS
4916,SELL,TCF4
4917,SELL,CREB1
4918,SELL,SPI1
4919,SELL,ATF3
4920,SELL,ETS1
4921,SELL,ESR1
4922,SELL,FOSL1
4923,SELL,FOSL2
4924,SELL,EGR1
4925,SELL,FOSB
4926,SELL,NR3C1
4927,SELL,ELK1
4928,SELL,HES1
4929,SELL,HEY1
4930,SELL,ETV1
4931,SELL,SMAD7
4932,SELL,MYB
4933,SELL,TCF7L2
4934,SELL,DMTF1
4935,SELL,STAT1
4936,SELL,STAT2
4937,SELL,STAT3
4938,SELL,STAT5B
4939,SELL,STAT5A
4940,TRPC3,NFKB1
4941,ITGA2B,STAT1
4942,ITGA2B,STAT5A
4943,ITGA2B,ETS1
