,TF,target
277,SP3,RAC2
278,RELB,GFAP
279,REL,GFAP
280,NFKB2,GFAP
281,RELA,GFAP
282,NFKB1,GFAP
283,RUNX1,FOS
284,NEUROD1,AK1
285,FOXO3,FASLG
286,RELB,VCAM1
287,REL,VCAM1
288,NFKB2,VCAM1
289,RELA,VCAM1
290,NFKB1,VCAM1
291,USF1,ADGRE4P
292,USF1,FASN
293,USF1,INS
294,CEBPD,IGF1
295,RELB,BIRC3
296,REL,BIRC3
297,NFKB2,BIRC3
298,RELA,BIRC3
299,NFKB1,BIRC3
300,RELB,IL6
301,REL,IL6
302,NFKB2,IL6
303,RELA,IL6
304,NFKB1,IL6
305,ELK1,SOD1
306,YY1,SOD1
307,FLI1,GP9
308,FLI1,ITGA2B
309,EGR1,ELK1
310,ELK1,EGR1
311,ELK4,EGR1
312,POU1F1,PRL
313,POU1F1,PREB
314,POU1F1,PRKACA
315,STAT3,POMC
316,TP53,TICAM2
317,CREB1,CHGA
318,TFAP2A,ST3GAL4
319,SP1,CLCN2
320,SP3,CLCN2
321,CEBPB,NOS2
322,CEBPA,ALB
323,TP53,ALOX15
324,IRF1,IFNL3
325,IRF2,IFNL3
326,IRF3,IFNL3
327,RELA,IFNL3
328,CREB1,CCND1
329,STAT1,IFNG
331,EGR1,IL1B
332,EGR1,IL1A
333,HIF1A,EPO
334,MYC,CDC25A
335,RELB,NQO1
336,REL,NQO1
337,NFKB2,NQO1
338,RELA,NQO1
339,NFKB1,NQO1
340,TFAP2A,NQO1
341,FOS,TGFB1
342,JUNB,MMP1
343,JUND,MMP1
344,JUN,MMP1
345,SPI1,REG1A
346,POU1F1,GHRHR
347,ARNT,EPO
348,TP73,MDM2
349,TP73,TP53
350,TP53,TP73
351,MYC,EMP1
352,ESR1,EMP1
353,NFATC2,TAT
354,TCF4,SSTR2
355,ESR1,CRYAB
356,TP73,CDKN1A
357,RUNX1,BCL2
358,POU1F1,TRHR
359,YY1,ACR
360,RELB,PTGS2
361,REL,PTGS2
362,NFKB2,PTGS2
363,RELA,PTGS2
364,NFKB1,PTGS2
365,JUNB,MAP2K1
366,JUND,MAP2K1
367,JUN,MAP2K1
368,SP1,CDKN1A
369,GATA4,MYH7
370,GATA4,SLC8A1
371,SRF,SLC8A1
372,ETS2,IL5
373,GATA3,IL5
374,ETS1,IL5
375,RELB,TGFB1
376,REL,TGFB1
377,NFKB2,TGFB1
378,RELA,TGFB1
379,NFKB1,TGFB1
380,SP1,TGFB1
381,JUNB,CLU
382,JUND,CLU
383,JUN,CLU
384,OTX2,NCAM1
385,SP1,PCYT1A
386,DDIT3,HSPA5
388,JUNB,GCLC
389,JUND,GCLC
390,JUN,GCLC
391,FOS,OXTR
392,GABPA,OXTR
393,JUN,OXTR
394,JUNB,OXTR
395,JUND,OXTR
397,TP53,NGF
398,REL,IL2RA
399,FOS,AGTR2
400,RELB,CCNG1
401,REL,CCNG1
402,NFKB2,CCNG1
403,RELA,CCNG1
404,NFKB1,CCNG1
405,SP1,LDLR
406,CEBPA,PCK1
407,WT1,CDKN1A
408,VDR,RARB
409,HOXC8,SMAD1
410,JUNB,IL5
411,JUND,IL5
412,JUN,IL5
413,JUNB,TNF
414,JUND,TNF
415,JUN,TNF
416,JUNB,IL1B
417,JUND,IL1B
418,JUN,IL1B
419,RELB,IL1B
420,REL,IL1B
421,NFKB2,IL1B
422,RELA,IL1B
423,NFKB1,IL1B
424,ATF1,CAT
425,RELB,SRC
426,JUNB,ERCC1
427,JUND,ERCC1
428,JUN,ERCC1
429,FOS,ERCC1
430,MYC,CXCR4
431,USF1,CXCR4
432,CREB1,ANG
433,NR5A1,SF1
434,TP53,ITSN1
435,DDIT3,EPO
437,NR5A1,LHB
438,ATF2,TNF
440,GATA4,ADORA1
441,NKX2-5,ADORA1
442,AR,ACOT11
443,GATA4,ACOT11
444,GATA4,AR
445,NKX2-5,ACOT11
446,NKX2-5,AR
447,CEBPB,KRAS
448,LEF1,CCND1
449,PAX6,SST
450,CEBPB,STAR
451,NR5A1,STAR
452,POU1F1,FOS
453,POU1F1,SSTR5
454,EGR1,CISH
455,NR5A1,RHD
456,SRF,FOS
457,FOS,TF
458,ZNF143,STUB1
459,MYC,CDKN1A
460,JUN,IL2
461,SOX9,MIA
462,IRF2,CDKN1A
463,IRF1,IFNA1
464,IRF2,IFNA1
465,IRF1,IRF2
466,IRF2,IRF1
467,TP53,LITAF
468,TP53,BTG2
469,TP53,GREM1
470,TP53,MRPL41
471,TP53,PIK3R1
472,SP3,CDKN1A
473,TP53,PCNA
474,JUNB,FN1
475,JUND,FN1
476,JUN,FN1
477,JUN,ATF2
478,ATF2,JUN
479,ATF2,TNFRSF11A
480,JUN,TNFRSF11A
481,YBX1,ERCC2
482,YBX1,ERCC3
483,YBX1,XRCC1
484,HSF1,CXCL8
485,HSF1,ICAM1
486,HSF1,IL6
487,HSF1,TNF
488,HSF1,IL1B
489,RELB,HSF1
490,REL,HSF1
491,NFKB2,HSF1
492,RELA,HSF1
493,NFKB1,HSF1
494,PPARA,UCP3
495,REL,JAG1
496,RELA,JAG1
497,RELB,JAG1
499,NFKB2,JAG1
501,NFKB1,JAG1
502,HES1,FCER1G
503,RELB,SDC4
504,REL,SDC4
505,NFKB2,SDC4
506,RELA,SDC4
507,NFKB1,SDC4
508,EGR1,F3
509,SRF,EGR1
510,EGR1,SRF
511,POU4F1,BCL2
512,JUNB,NOTO
513,JUND,NOTO
514,JUN,NOTO
515,RELB,NOTO
516,REL,NOTO
517,NFKB2,NOTO
518,RELA,NOTO
519,NFKB1,NOTO
520,HNF4A,SERPINA1
521,HNF1A,SERPINA1
522,SOX9,EPYC
523,PAX3,FGF2
524,ID2,HBG1
525,JUN,CSF2
526,NFATC2,CSF2
527,MEF2A,JUN
528,RUNX2,MMP13
529,FLI1,EPO
530,FLI1,RB1
531,FLI1,CFC1
532,PDX1,CHKA
533,PDX1,INS
534,HNF1A,HNF4A
535,HNF4A,HNF1A
536,NR2F2,HNF1A
537,HNF1A,INS
538,ASCL1,NGF
539,HES1,NGF
540,JUNB,DLD
541,JUND,DLD
542,JUN,DLD
543,CRX,SAG
544,E2F1,DHFR
545,USF1,JCHAIN
546,NR5A1,GRIN2C
547,JDP2,POLI
