,TF,target
9447,STAT5B,LEP
9448,STAT3,INS
9449,TLX2,SLC8A3
9450,SMAD7,IFNA1
9451,HNF4A,CDX4
9452,FLI1,HMOX1
9453,VDR,NGF
9454,JUNB,GRIN2B
9455,JUND,GRIN2B
9456,JUN,GRIN2B
9457,ESRRA,NR0B1
9458,RUNX1,POLR2F
9459,RUNX1,SKP1
9460,ESRRA,PDK4
9461,FOXM1,CDKN1A
9462,FOXG1,TLE1
9463,FOXG1,TLE6
9464,GTF2I,CCND1
9465,MYC,CLIC4
9466,NKX3-1,CLIC4
9467,MYC,BCL2
9468,EGR1,IGHE
9469,KLF6,SAMHD1
9470,KLF6,IRF9
9471,MEF2A,SLC6A6
9472,MYOD1,SLC6A6
9473,SMAD2,COL1A2
9474,MYC,LDHA
9475,SPI1,ALOX15
9476,RELB,INSR
9477,REL,INSR
9478,NFKB2,INSR
9479,RELA,INSR
9480,NFKB1,INSR
9481,VDR,POU1F1
9482,POU1F1,VDR
9483,POU1F1,XPR1
9484,ID1,TNFSF11
9485,ID2,TNFSF11
9486,ID2,OSCAR
9487,TP53,RAD51
9488,HNF4A,GCG
9489,TP63,KRT14
9490,NR2C2,CXCL8
9491,E2F1,MCM8
9493,HNF4A,TNFRSF11B
9494,LEF1,TNFRSF11B
9495,DBP,ESR1
9496,ATF3,GH1
9497,NR0B2,TIMP2
9498,RORA,ROS1
9500,GLI1,DKK2
9501,GLI1,DKK3
9502,GLI1,DKK4
9503,GLI1,FRZB
9504,GLI1,SFRP1
9505,HOXD3,GABRB3
9506,SMAD4,HAMP
9507,E2F1,SKP2
9508,SPI1,CDKN2A
9510,FOXA1,BRCA1
9511,FOXA1,CDKN1B
9512,CTCF,DLK1
9513,CEBPB,COL1A2
9514,SREBF2,ACOT7
9516,PPARG,MAPK1
9517,RUNX1,ADA
9518,NFE2L2,IL1B
9519,NFE2L2,MAPK14
9520,HMGA1,BAX
9521,HMGA1,CDKN1A
9522,RBPJ,LFNG
9523,TP63,WNT4
9524,TP73,WNT4
9525,TP53,WNT4
9526,MAF,CCN2
9527,SP1,TARBP2
9528,TFAP2A,TARBP2
9529,TFAP4,TARBP2
9530,AR,CARM1
9531,HNF4A,CARM1
9532,HNF4A,CREBBP
9533,EGR1,MIP
9534,EGR1,TFG
9535,NR4A1,PPM1D
9536,ESR1,PPM1D
9537,NCOA1,PPM1D
9538,CEBPB,SPI1
9539,POU2F1,SPI1
9540,RELB,UPK1B
9541,REL,UPK1B
9542,NFKB2,UPK1B
9543,RELA,UPK1B
9544,NFKB1,UPK1B
9545,NFE2L2,PI3
9546,AR,PARK7
9547,AR,TH
9548,NR1H4,SLC51A
9549,SPDEF,CSF1R
9550,SPDEF,ERBB2
9551,SNAI1,GSK3B
9552,TP53,DDB1
9553,TP53,CPD
9554,MYF6,SCN8A
9555,MYOG,MUSK
9556,EGR1,ALOX5
9557,SP1,ALOX5
9558,JUNB,CCL15
9559,JUND,CCL15
9560,JUN,CCL15
9561,RELB,CCL15
9562,REL,CCL15
9563,NFKB2,CCL15
9564,RELA,CCL15
9565,NFKB1,CCL15
9566,MYC,MAPK14
9567,SPI1,CTSS
9568,MYB,PSMD4
9569,PAX2,WNT4
9570,NR1H3,SCD
9571,SREBF1,SCD
9572,MITF,PIAS3
9573,RUNX1,IER3
9574,RUNX1,TPO
9575,TAL1,CCND1
9576,ASCL1,EZH2
9577,EGR2,IGF1
9578,JUN,COL24A1
9580,NCOR1,AR
9581,AR,NCOR1
9582,NCOR1,NCOR2
9583,NCOR2,AR
9584,AR,SMARCA1
9585,CREB1,ABCA1
9586,SP1,ABCC6
9587,MYC,LARGE1
9588,AR,ADM
9589,USF1,ACACB
9590,PAX3,RECK
9591,SREBF1,GK
9592,STAT1,TRIP6
9593,CREB1,IFNA4
9594,IRF7,IFNA4
9595,PGR,SLPI
9596,ZNF148,IAPP
9597,SREBF2,CASP2
9598,SP1,IFNA1
9599,HNF4A,F13B
9600,MYC,GABRA6
9601,AHR,NRIP1
9602,ZEB2,MMP2
9603,EGR1,CD40LG
9604,EGR3,CD40LG
9605,ID3,THBS1
9606,SP1,EPAS1
9607,SP3,EPAS1
9608,USF1,HP
9609,RELB,UPP1
9610,REL,UPP1
9611,NFKB2,UPP1
9612,RELA,UPP1
9613,NFKB1,UPP1
9615,HNF4A,APOA2
9616,NR2F2,APOA2
9617,NR2F2,APOB
9618,NR2F2,APOC3
9619,NR2F6,APOA2
9620,NR2F6,APOB
9621,NR2F6,APOC3
9622,NR4A1,APOA2
9623,NR4A1,APOC3
9624,PITX2,APOA2
9625,PITX2,APOB
9626,E2F1,RAD51
9627,EGR1,RAD51
9628,ETS1,RAD51
9629,ETV4,RAD51
9630,STAT5A,RAD51
9631,HIF1A,CCNA2
9632,HIF1A,EGF
9633,HIF1A,FGF2
9634,TLX2,PHOX2B
9635,E2F1,POLE3
9636,MYC,POLE3
9637,SP1,GIPR
9638,SP3,GIPR
9639,RELB,CYBB
9640,REL,CYBB
9641,NFKB2,CYBB
9642,RELA,CYBB
9643,NFKB1,CYBB
9644,RELB,LARGE1
9645,REL,LARGE1
9646,NFKB2,LARGE1
9647,RELA,LARGE1
9648,NFKB1,LARGE1
9649,SREBF1,PCSK9
9650,YBX3,HSPA4
9651,MYB,CA1
9652,RELB,ERVK-6
9657,REL,ERVK-6
9662,NFKB2,ERVK-6
9667,RELA,ERVK-6
9672,NFKB1,ERVK-6
9677,ATF2,TGFBR2
9678,SP7,TNF
9679,FOXA2,REG3G
9680,TP63,ADA
9681,SOX10,EDNRB
9682,TP73,TP63
9683,TP63,TP73
9684,SMAD3,CILP
9685,IRF1,CD274
9686,SP3,ANGPT2
9687,NR1H3,NPC1L1
9688,PPARA,NPC1L1
9692,JUNB,DEFB4B
9693,JUND,DEFB4B
9694,JUN,DEFB4B
9695,RARA,CREBBP
9696,ATF2,PTEN
9697,STAT1,MVP
9698,SP1,NOS2
9699,SP1,NASP
9700,HOXA10,CDH1
9701,HOXA10,EPCAM
9702,ATF1,IL6
9703,NFE2L2,ABCC2
9704,CTCF,ARSI
9705,NFE2L2,EPHX1
9706,STAT3,PTPN2
9707,KLF6,ADRA1D
9708,KLF6,GSTP1
9709,KLF6,A2M
9710,KLF6,CTSB
9711,TP53,FLT1
9712,VDR,CDKN1A
9713,HNF4A,POU2F1
9714,NR0B2,GBA2
9715,ESR2,RHD
9716,RBPJ,FCRL5
9717,JUN,RAC1
9718,GTF3A,NME1
9719,MYC,CCR5
9720,MYC,NME1
9721,TP53,MPO
9722,WT1,MPO
9723,RUNX2,GNAS
9727,MAFB,GCG
9728,CREM,CCL4
9729,JUNB,CISH
9730,JUND,CISH
9731,JUN,CISH
9732,CREM,CISH
9733,TP53,GPX2
9734,NFE2L2,SPARC
9735,CREB1,PSENEN
9736,E2F3,RB1
9737,TP63,S100A2
9738,TP73,S100A2
9739,JUNB,TFF1
9740,JUND,TFF1
9741,JUN,TFF1
9742,SP3,MAPK8
9743,JUN,MAP3K1
9744,SP1,MAP2K1
9745,SP1,MAP3K1
9746,SP3,MAP2K1
9747,SP3,MAP3K1
9748,MYC,PUF60
9749,RELB,MTDH
9750,REL,MTDH
9751,NFKB2,MTDH
9752,RELA,MTDH
9753,NFKB1,MTDH
9755,CEBPB,XDH
9756,GATA4,HSPA5
9757,EGR1,SGK1
9758,JUNB,NOS3
9759,JUND,NOS3
9760,JUN,NOS3
9761,MITF,HGF
9762,NCOA1,CYP3A4
9763,NR0B2,CYP3A4
9764,ELK3,HMOX1
9765,FOXC2,INS
9766,FOXC2,SERPINE1
9767,CEBPB,MAP3K14
9768,CEBPB,MAP4K4
9769,CEBPB,SLC2A4
9770,NR1H3,CCL2
9771,NR1H3,CD36
9772,TP53,VDR
9773,TP63,VDR
9774,BHLHE40,BIRC5
9775,RARB,LAMB1
9776,EGR1,SLC9A3
9777,HNF4A,FGF18
9778,HNF4A,FGF20
9779,NFKB1,GCA
9780,PPARD,PNPLA2
9781,IKZF1,GHRH
9782,WT1,EPO
9783,EGR1,PGK1
9784,ETS1,CCN2
9785,FLI1,CCN2
9786,MYC,CXCL12
9787,NR1H2,PTH
9788,GATA4,BCL2
9789,TP63,CKAP5
9792,TP53,HPSE
9793,AR,WNT1
9794,HNF4A,WNT1
9795,LEF1,AR
9796,NFATC4,NOS2
9797,RUNX2,PTGS2
9798,NFE2L2,AKR1C2
9799,SP1,TBK1
9800,CTCF,HBA1
9801,AR,PMAIP1
9802,TP53,ADRA1D
9803,TP53,PYHIN1
9804,HNF4A,IL1B
9805,RELB,ST8SIA1
9806,REL,ST8SIA1
9807,NFKB2,ST8SIA1
9808,RELA,ST8SIA1
9809,NFKB1,ST8SIA1
9810,MYC,GCLC
9811,ESR1,HSP90AA1
9812,JUN,HSP90AA1
9813,NFKB1,CREBBP
9814,NFKB1,HSP90AA1
9815,RELB,HSP90AA1
9816,REL,HSP90AA1
9817,NFKB2,HSP90AA1
9818,RELA,HSP90AA1
9821,ESR1,MAOB
9822,ESR2,MAOB
9823,ESRRA,MAOB
9824,WT1,CSF3
9825,NR1H3,IFNG
9826,FOS,FOSB
9827,MYC,AKT1
9828,NFATC4,TNF
9829,PPARG,PDX1
9830,HNF1A,SLCO2B1
9831,FOXO1,GCK
9832,NR1I3,CYP7A1
9833,NR1I3,DR1
9834,NR1I3,HNF4A
9835,PPARA,TXN
9836,PPARA,ACADM
9837,AR,SARM1
9838,ZEB1,CCNG2
9839,ZEB1,RBL2
9840,RELB,HAMP
9841,REL,HAMP
9842,NFKB2,HAMP
9843,RELA,HAMP
9844,NFKB1,HAMP
9846,JUNB,MMP7
9847,JUND,MMP7
9848,JUN,MMP7
9849,STAT1,FGF2
9850,AR,GREB1
9851,RELA,CARM1
9852,RELB,TNFSF13B
9853,REL,TNFSF13B
9854,NFKB2,TNFSF13B
9855,RELA,TNFSF13B
9856,NFKB1,TNFSF13B
9857,CREB1,NOS3
9858,NFE2L2,FMR1
9859,CREB1,FMR1
9860,NFATC2,PLD1
9861,RELB,CD28
9862,REL,CD28
9863,NFKB2,CD28
9864,RELA,CD28
9865,NFKB1,CD28
9866,MEF2A,BCO1
9867,PPARG,BCO1
9868,MEF2C,BCO1
9869,PPARA,BCO1
9870,HIF1A,IL1B
9871,THRA,ANGPTL3
9872,THRB,ANGPTL3
9873,RARA,RARG
9874,RARG,RARA
9875,HIF1A,AVP
9876,HIF1A,CISH
9877,HIF1A,NPPB
9878,MYC,BMAL1
9879,MYC,CLOCK
9880,TP53,MYO6
9881,YBX3,CCND1
9882,VDR,KLK3
9883,SNAI1,SNAI2
9884,SOX9,SNAI2
9885,MEF2C,MAML1
9886,HIF1A,POU5F1
9887,MYC,BTRC
9888,ESR1,HSP90B1
9889,ESR1,SNCA
9890,PPARG,PPARGC1A
9891,ESR1,NFYA
9892,ATF4,PLAT
9893,ATF4,TH
9894,CREB1,TAC1
9895,PDX1,NPFF
9896,POU1F1,NPFF
9897,POU2F1,NPFF
9898,RELB,FCGR1A
9899,REL,FCGR1A
9900,NFKB2,FCGR1A
9901,RELA,FCGR1A
9902,NFKB1,FCGR1A
9903,NFE2L2,COX4I1
9904,ETS1,NPR1
9905,NFATC2,FOXP3
9906,CDX1,CCL25
9907,SP1,JAK3
9908,ETS2,IL12B
9909,SP1,IL12B
9910,LRRFIP1,SLC1A2
9911,LRRFIP1,SLC1A3
9912,TFAP2A,SLC1A2
9913,TFAP2A,SLC1A3
9914,LRRFIP1,TFAP2A
9915,TBX21,GATA3
9916,AHR,INSM1
9917,RARA,IL2
9918,PDX1,REG3A
9919,JUNB,NLRP2
9920,JUND,NLRP2
9921,JUN,NLRP2
9922,JUNB,REG3A
9923,JUND,REG3A
9924,JUN,REG3A
9925,NEUROD1,REG3A
9926,PDX1,NLRP2
9927,HNF4A,CES2
9928,NR0B2,CES2
9929,LHX3,HESX1
9930,FOS,HLA-E
9931,FOS,ACTB
9932,MYOD1,PPARGC1A
9933,AR,NRIP1
9934,SP1,P2RX1
9935,IRF1,XAF1
9936,NR3C1,SGK1
9937,TFAP2A,APAF1
9938,NKX3-1,TFAP2A
9939,TFAP2A,IAPP
9940,USF1,CEBPA
9941,FOS,UPP1
9942,XBP1,WFS1
9943,YY1,BACE1
9944,HNF4A,CYP2C19
9945,HNF4A,CYP2B6
9946,SREBF2,PRSS8
9947,HIF1A,BRCA1
9948,FOS,AVP
9949,JUN,AVP
9950,TFAM,MT-CO1
9951,NFE2L2,NQO2
9952,ESR1,GCLC
9953,ESR2,AKT1
9954,ESR2,GCLC
9955,ESR2,GLRX
9956,RELB,CA2
9957,REL,CA2
9958,NFKB2,CA2
9959,RELA,CA2
9960,NFKB1,CA2
9961,NFE2L2,PIK3C3
9962,NFE2L2,GSK3B
9963,NFKB2,RAC3
9965,RELB,RAC3
9966,AIRE,INS
9967,NR1I2,CD36
9968,PPARA,BMAL1
9969,SNAI1,INS
9970,ETS1,TERT
9971,NKX2-5,PITX2
9972,ID1,FGFR1
9973,TP53,ID1
9974,ID1,TP53
9975,ID2,FGFR1
9976,TP53,ID2
9977,ID2,TP53
9978,TP53,FGFR1
9979,RELB,AP3B1
9980,REL,AP3B1
9981,NFKB2,AP3B1
9982,RELA,AP3B1
9983,NFKB1,AP3B1
9984,NFIA,HSPA5
9985,MEF2A,SUMO1
9986,KLF4,PSG5
9987,OTX2,ASMT
9988,JUNB,GFAP
9989,JUND,GFAP
9990,JUN,GFAP
9991,SP1,EDF1
9992,SP3,EDF1
9993,NR5A1,CYP1B1
9994,CREB1,CYP1B1
9995,PPARA,PEX11A
9996,ZEB2,VIM
9997,STAT3,PTK6
9998,RELB,OXTR
9999,REL,OXTR
10000,NFKB2,OXTR
10001,RELA,OXTR
10002,NFKB1,OXTR
10003,CEBPB,OXTR
10004,SRY,WNT4
10005,WT1,VEGFA
10006,USF1,NPHS2
10007,ESR1,CLIP1
10008,PBX1,SI
10009,RUNX2,SP7
10010,SP7,RUNX2
10011,VDR,TRPV6
10012,CRX,OPN1SW
10013,ESR1,KDR
10014,RUNX2,LEF1
10015,LEF1,RUNX2
10016,MYOD1,CHRNG
10017,E2F1,CDCA7
10018,E2F2,CDCA7
10019,E2F4,CDCA7
10020,SMAD1,PPARG
10021,THRA,CTNNB1
10022,RELB,TGFA
10023,REL,TGFA
10024,NFKB2,TGFA
10025,RELA,TGFA
10026,NFKB1,TGFA
10027,E2F1,BMI1
10028,ESR1,BMI1
10029,TP73,FASN
10030,IRF2,KAT2B
10031,IRF2,OGA
10032,HNF4A,CSN2
10033,HNF4A,SLC10A1
10034,STAT5B,APOC3
10035,EGR1,SELP
10036,MYC,IL4
10037,CREM,CREB3L4
10038,KLF5,BIRC5
10039,NR4A1,ZNF461
10040,FOXA2,AHSG
10041,TP53,EFNB3
10042,MYC,MAPK1
10043,DDIT3,BAK1
10045,JUN,IL12A
10046,STAT3,SLC25A5
10047,EGR1,CFC1
10048,HIF1A,CFC1
10049,HIF1A,XIAP
10050,MYC,CFC1
10051,MYC,FLT1
10052,TP53,MLIP
10053,TP53,TUBB2A
10054,HNF1A,LIPC
10055,HNF4A,LIPC
10056,NR2F2,LIPC
10057,PITX2,LIPC
10058,SP3,HAS2
10059,FOXO1,AGRP
10060,HES1,TLE1
10061,ESR1,CCNG2
10062,NR3C1,ADIPOR2
10063,PPARG,ADIPOR2
10064,HIF1A,TGFB3
10065,ATF3,EIF2AK2
10066,ETV5,SFTPC
10067,NCOR2,AKT1
10068,NCOR2,RARA
10069,NCOR2,RARB
10070,RARA,AKT1
10071,RARB,AKT1
10072,LHX3,GNRHR
10073,SREBF1,PFKFB1
10074,POU2F1,PTPRC
10075,TFAP2A,IL6
10077,ESR1,BCAS3
10078,MTA1,BCAS3
10079,SP1,TNNT2
10080,E2F1,DIABLO
10081,ONECUT1,CCND1
10082,TP53,CLTC
10083,IRF3,NOTCH1
10084,IRF3,TP63
10085,TP63,HES1
10086,SMAD3,MMP9
10087,AR,CALM1
10088,ZNF148,GHR
10089,NR1I3,PPIG
10090,PPARA,PDK4
10091,SP1,EDNRB
10092,BHLHE41,SDC1
10093,PRDM1,SDC1
10094,XBP1,SDC1
10095,MYC,YBX2
10096,MYCN,YBX2
10097,NFATC1,VCAM1
10098,FOXA2,PPP1R3C
10099,USF2,HAMP
10100,RUNX1,IL19
10101,PBX1,ZIC3
10102,FOS,CRH
10103,RELB,ADAM17
10104,REL,ADAM17
10105,NFKB2,ADAM17
10106,RELA,ADAM17
10107,NFKB1,ADAM17
10108,ESR1,CALM1
10109,XBP1,SLC30A5
10110,MYC,OVOL1
10111,TP73,GAST
10112,TP53,TFAP2C
10113,AR,SMC3
10114,NR4A2,NRP1
10115,E2F3,DIRAS3
10116,NFAT5,AQP2
10117,ATF2,IFNA1
10118,FOXO1,FOXA2
10119,FOXA2,FOXO1
10120,MLX,PKLR
10121,ESR1,MTA2
10122,TP63,NFYA
10123,TFCP2,GATA1
10124,ESR2,GCH1
10125,MYB,VEGFA
10126,STAT5A,ACOX1
10127,ESR1,PRLR
10128,ESR1,GTF2B
10129,NCOA1,GTF2B
10130,YBX1,EGFR
10131,YBX1,ERBB2
10132,SP1,XRCC1
10133,MYOD1,P2RY4
10134,TP53,P2RY4
10135,TP73,P2RY4
10136,ETS1,SPP1
10137,NR1H4,INS
10138,NR1H4,SLC2A4
10139,JUNB,CD69
10140,JUND,CD69
10141,JUN,CD69
10142,JUNB,IL2RA
10143,JUND,IL2RA
10145,JUNB,TSPOAP1
10147,JUN,TSPOAP1
10148,RELB,CD3E
10149,REL,CD3E
10150,NFKB2,CD3E
10151,RELA,CD3E
10153,STAT5A,CD3E
10154,STAT5A,CD44
10155,STAT5A,CD69
10156,STAT5A,IL2RA
10157,STAT5A,TSPOAP1
10158,HNF1A,ABCC2
10159,SP1,PADI3
10160,SP3,PADI3
10161,SP3,PROS1
10162,ESR1,UCN
10163,ESR2,UCN
10164,MYOD1,FGF1
10165,AHR,CAD
10166,ESR1,APP
10167,ESR1,MT-ATP6
10168,ESR1,NPY
10169,ESR2,MT-ATP6
10170,CREB1,CRYAA
10171,PAX6,DICER1
10172,FOXC1,DLL4
10173,FOXC2,DLL4
10174,HEY1,RBFOX2
10175,JUNB,STIM1
10176,JUND,STIM1
10177,JUN,STIM1
10178,ESR1,STIM1
10180,DMTF1,DSPP
10181,RELB,FGF8
10182,REL,FGF8
10183,NFKB2,FGF8
10184,RELA,FGF8
10185,NFKB1,FGF8
10187,SP1,PODXL
10188,ETS1,ITGA10
10189,SOX9,ITGA10
10190,PGR,HLA-G
10191,PAX3,CNTF
10192,POU1F1,CNTF
10193,POU2F1,CNTF
10194,POU3F1,CNTF
10195,CEBPB,BPI
10196,HNF4A,VEGFD
10197,FOXO3,NOS2
10198,FOXO3,ABCC8
10199,SMAD6,DLX3
10200,DLX3,ESX1
10201,ATF4,IGFBP1
10202,CEBPB,RB1
10203,HIC1,FGFBP1
10204,FOXO3,IGFBP3
10205,FOXO1,PRL
10206,FOXO1,TIMP3
10207,SP1,FLG
10208,FOSB,MMP2
10210,KLF6,CDH1
10211,RELB,WDTC1
10212,REL,WDTC1
10213,NFKB2,WDTC1
10214,RELA,WDTC1
10215,NFKB1,WDTC1
10216,TCF3,CDKN1C
10217,KLF1,AHSP
10218,ESR1,BGLAP
10219,HSF1,SOCS3
10220,TFAP2A,INSR
10221,JUNB,IRS2
10222,JUND,IRS2
10223,JUN,IRS2
10224,CREB1,NOX5
10225,SMAD4,CSF1
10226,IRF8,CCL5
10228,SPI1,CCL5
10229,EGR2,CDKN1A
10230,EGR2,CDKN1B
10231,TBX21,CDKN1B
10232,TBX21,EGR2
10233,STAT3,DEPP1
10234,STAT3,AGRP
10235,SPI1,DEFA1B
10236,SPI1,FGL2
10237,STAT1,FGL2
10238,NCOR1,CNOT2
10239,NCOR2,CNOT2
10240,THRA,CNOT2
10241,NCOR1,ALG3
10242,NCOR1,CCR4
10243,NCOR2,ALG3
10244,NCOR2,CCR4
10245,HNF4A,STMN2
10246,SMAD2,TGFBR2
10247,SMAD3,TGFBR2
10248,SMAD2,IFNG
10249,SMAD3,IFNG
10250,SMAD4,IFNG
10251,ATF2,PGLYRP2
10252,RELB,PGLYRP2
10253,REL,PGLYRP2
10254,NFKB2,PGLYRP2
10255,RELA,PGLYRP2
10256,NFKB1,PGLYRP2
10257,SP1,PGLYRP2
10258,SP1,CLDN4
10259,NANOG,ZFP42
10260,POU5F1,ZFP42
10261,SOX2,ZFP42
10262,TP53,PYCARD
10263,ETS1,RHOC
10264,NFATC4,EGF
10265,NFATC4,PTGS2
10266,POU2F1,MUCL1
10267,POU2F2,MUCL1
10268,CEBPD,BGLAP
10269,CEBPD,NOBOX
10270,RUNX2,NOBOX
10271,SMAD2,INHA
10272,SMAD3,INHA
10273,RELB,E2F1
10274,REL,E2F1
10275,NFKB2,E2F1
10276,RELA,E2F1
10277,NFKB1,E2F1
10278,SP1,MAOA
10279,NR3C1,MAOA
10280,STAT3,DIO2
10281,STAT5A,DIO2
10282,TP53,NTRK1
10283,TP53,AIFM1
10284,CREB1,HLA-DRA
10285,ESR1,SLC5A5
10286,FOS,TPSD1
10287,SMAD3,TPSD1
10288,SMAD4,TPSD1
10289,ESR1,CLCA1
10290,STAT3,BCL3
10291,SP3,BAK1
10292,SP1,COL11A2
10293,SP3,COL11A2
10294,SP7,COL11A2
10295,CEBPB,TGFB1
10296,SMAD2,CSRP2
10297,SMAD3,CSRP2
10298,PAX2,NAIP
10299,GABPA,RB1
10300,ESR1,AMY2A
10301,FOXA2,LCN8
10302,AR,LCN8
10303,PGR,MUC1
10304,FLI1,DHX9
10305,RARA,FOLR2
10306,SP1,FOLR2
10307,ESR1,RETN
10308,STAT5B,BCL2
10309,HNF1A,SLCO1B3
10310,E2F1,PURA
10311,NR4A2,BGLAP
10312,NR4A2,COL1A1
10313,HES1,RB1
10314,CEBPA,SLC2A4
10315,SP1,PDK4
10316,XBP1,DDIT3
10318,MAFB,BRF1
10319,TAL1,NFE2
10320,TFCP2,NFKBIA
10321,SP1,S100A12
10322,SP3,S100A12
10323,NR4A2,SRGN
10324,ATF1,MITF
10325,HNF4A,TNF
10326,HNF4A,PSMD4
10327,CEBPB,TAC1
10328,JUNB,MUC5AC
10329,JUND,MUC5AC
10330,JUN,MUC5AC
10331,ID2,RBL2
10332,USF1,HOXB7
10333,TP53,DUSP4
10334,CRX,BTRC
10335,RELB,BTRC
10336,REL,BTRC
10337,NFKB2,BTRC
10338,RELA,BTRC
10339,NFKB1,BTRC
10340,MAFB,INS
10341,RELB,DBI
10342,REL,DBI
10343,NFKB2,DBI
10344,RELA,DBI
10345,NFKB1,DBI
10346,TFCP2,UQCRC1
10347,PPARA,ABCG2
10348,PPARG,ABCG2
10349,SMAD7,TERT
10350,FOXP3,PTGS2
10351,FOS,CD28
10352,JUN,ERBB2
10353,CEBPB,HCRT
10354,USF2,RUNX2
10355,SREBF1,SLC2A4
10356,PAX3,TGFBR2
10357,CREB1,ZNF268
10358,SREBF2,ABCA7
10359,HIF1A,PDC
10360,SP1,KCNE1
10361,TFAP2A,KCNE1
10362,E2F6,BRD7
10363,SP1,BRD7
10364,RELB,NFKBIB
10365,REL,NFKBIB
10366,NFKB2,NFKBIB
10367,RELA,NFKBIB
10368,NFKB1,NFKBIB
10369,TP53,PIAS4
10370,HNF1A,SLC22A8
10371,NFE2L2,GPX2
10372,JUN,MAPK14
10373,NKX3-1,MCL1
10374,NR1I3,MCL1
10375,STAT3,NANOG
10376,TBXT,NANOG
10377,NR0B2,ADIPOQ
10378,THRB,SLC26A5
10379,NFE2L2,ABCC3
10380,PAX3,DPYD
10381,SP1,DPYD
10382,SP3,DPYD
10383,RUNX2,TGFBR1
10384,SP1,B3GAT3
10385,TP53,B3GAT3
10386,HNF4A,ACMSD
10387,SP1,HSD17B2
10388,SP3,HSD17B2
10389,ESR1,FOXM1
10390,FOXM1,ESR1
10391,ATF1,SLC22A8
10392,CREB1,SLC22A8
10393,SP1,PIK3R1
10394,NKX2-5,ACTG2
10395,SNAI1,EGFR
10396,ETS1,THY1
10397,CREB1,CIITA
10398,NR1H4,ATP8B1
10399,SRF,CDKN1A
10400,SRF,CDKN2B
10401,RARA,MMP1
10402,RARA,THRA
10403,THRA,RARA
10404,SOX10,GJC2
10405,IRF5,IFNG
10406,IRF5,IL12A
10407,IRF7,IL12A
10408,IRF3,IRF1
10409,ATF2,CPS1
10410,ZNF148,OAS1
10412,NFATC1,NOS2
10413,HIF1A,NAMPT
10414,PPARA,ACOX1
10415,RELB,DEK
10416,REL,DEK
10417,NFKB2,DEK
10418,RELA,DEK
10419,NFKB1,DEK
10421,EGR1,TOPBP1
10422,TP73,HAGH
10423,TWIST1,TNF
10424,RUNX1,RARB
10425,NR4A1,TCL1A
10426,FOS,SAR1B
10427,STAT3,HAMP
10428,STAT3,STMN1
10429,SMAD2,FBLN5
10430,SMAD3,FBLN5
10431,ETS1,CXCR4
10432,HIF1A,CXCR4
10433,LHX3,FOXL2
10434,LHX4,FOXL2
10435,STAT3,PROS1
10436,STAT5A,NCAM2
10437,NANOG,DPPA4
10438,NANOG,GJA1
10439,NANOG,CRIPTO
10440,POU5F1,DPPA4
10441,POU5F1,GJA1
10442,POU5F1,CRIPTO
10443,SOX2,DPPA4
10444,SOX2,CRIPTO
10445,HIF1A,BIRC5
10446,RELB,SHH
10447,REL,SHH
10448,NFKB2,SHH
10449,RELA,SHH
10450,NFKB1,SHH
10451,HIF1A,F3
10452,YBX1,ABCC1
10453,NCOR1,HBG1
10454,CEBPB,SOD2
10455,CEBPB,BAD
10457,RELB,PTGFR
10458,REL,PTGFR
10459,NFKB2,PTGFR
10460,RELA,PTGFR
10461,NFKB1,PTGFR
10462,NR3C1,NR0B1
10463,KLF4,ACTA2
10464,SP1,ACTA2
10465,SP1,ACTG2
10466,SMAD3,ACTA2
10467,EGR1,CLDN3
10468,CREB1,TPT1
10469,ESR1,PRMT1
10470,RELB,CDH1
10471,REL,CDH1
10472,NFKB2,CDH1
10473,RELA,CDH1
10474,NFKB1,CDH1
10475,RELA,ZEB1
10476,PBX1,ANGPT2
10477,ZBTB16,ADAMTS7
10478,ZBTB16,ANGPT2
10479,ID4,MBP
10480,HNF4A,NUMB
10481,HNF4A,NUMBL
10482,NR1H3,UGT1A3
10483,MEF2A,MMP10
10484,HIF1A,MRGPRF
10485,EGR2,IGFBP5
10486,MYC,CHRNA3
10487,POU1F1,EGF
10488,NFATC2,ICOS
10489,NFATC2,MAPK1
10490,GLI2,BMP2
10491,TP53,CSNK2A2
10492,NCOA1,CYP2C9
10493,NCOA1,CYP2B6
10494,ASCL1,HNMT
10495,ASCL1,TXN
10496,HIF1A,DLD
10497,ESR1,MAPK12
10498,FOXO1,MSTN
10499,SMAD2,MSTN
10500,STAT5A,ACO1
10501,SP1,ACO1
10502,SP1,FXR2
10503,CLOCK,PSEN2
10504,PDX1,CDK5
10505,PPARG,TP53
10506,STAT5A,IL18R1
10507,NFATC2,ACP5
10508,RELB,IFNGR2
10509,REL,IFNGR2
10510,NFKB2,IFNGR2
10511,RELA,IFNGR2
10512,NFKB1,IFNGR2
10513,HOXB1,HOXA1
10514,HOXA1,HOXB1
10515,TFAP2A,LPL
10516,MAFA,SYTL4
10517,NCOA1,APOC3
10518,NCOA1,PPARGC1A
10519,ATF2,TGFB3
10520,CREB1,TGFB3
10521,JUN,TGFB3
10522,SMAD3,TGFB3
10523,RUNX1,NCAM1
10524,GATA3,TH
10525,ATF2,HBG1
10526,TP53,GSDME
10527,CEBPB,ICAM1
10528,LEF1,SALL4
10529,TCF7L2,SALL4
10530,MYOD1,PIK3C3
10531,ID1,MYOG
10532,SP1,ULBP1
10533,SP3,ULBP1
